seed,omega,nonmarkovianity,mean_trace_distance,max_trace_distance,final_trace_distance,steps,seconds
39,0.0,0.9086650416826032,0.03543571781511614,0.9771600961685181,7.21426403060832e-08,1000,6.684932470321655
40,1.0,5.979054843674447e-06,0.0016594990084722015,0.9627295136451721,7.875142316038364e-09,1000,12.227888345718384
40,0.5,6.117579758102565e-06,0.0030914855004208724,0.9627295732498169,7.52207363063917e-09,1000,14.07095193862915
40,0.0,0.05536407694519596,0.02613534481991894,0.9627295136451721,5.420200466232927e-08,1000,4.9892737865448
41,1.0,5.4372991795670345e-06,0.0016146480483100192,0.939744234085083,6.741741387372713e-09,1000,11.931861877441406
41,0.5,6.046270510706719e-06,0.0030159555785501933,0.9397440552711487,1.6466811914028767e-08,1000,13.736114263534546
41,0.0,0.12700478290348372,0.024025237255819724,0.9397441148757935,5.6707762041696697e-08,1000,4.172836542129517
42,1.0,5.883261459782574e-06,0.001689711626672134,0.9743801355361938,6.157813459140016e-08,1000,13.083816051483154
42,0.5,5.642537733052677e-06,0.0032143234597553872,0.97437983751297,1.6668964875066195e-08,1000,10.887797832489014
42,0.0,0.14661953611143375,0.030245916877772255,0.97437983751297,5.4667445681388926e-08,1000,4.883387088775635
43,1.0,5.270998886253153e-06,0.0016391526335877318,0.9454320073127747,4.3891333234569174e-08,1000,15.383612155914307
43,0.5,5.911101807143382e-06,0.003064414401660009,0.9454320669174194,5.808058745060407e-08,1000,12.238560438156128
43,0.0,0.12468213181219845,0.02282054737306848,0.9454320669174194,4.869703218446375e-08,1000,8.13793659210205
44,1.0,5.963764685423811e-06,0.0017503678020052925,0.9758538603782654,5.086251775310302e-08,1000,12.541481971740723
44,0.5,5.227614825908944e-06,0.0034279511023056364,0.975853681564331,1.085392486999126e-08,1000,11.994014024734497
44,0.0,0.050459541832896804,0.022235630315840194,0.9758538007736206,5.730645469270712e-08,1000,3.7144534587860107
45,1.0,5.814949159965721e-06,0.0017520398497334346,0.9525885581970215,4.7459511876013494e-08,1000,13.549206018447876
45,0.5,5.9654075243997795e-06,0.0035574699517896746,0.9525884985923767,3.7796684893010024e-08,1000,15.287941694259644
45,0.0,1.0569030303073674,0.03874978670866925,0.9525884985923767,1.5429424138346803e-07,1000,4.507670164108276
46,1.0,5.074408397698349e-06,0.0016066495519608498,0.9602524042129517,2.7252681888967345e-08,1000,14.45546841621399
46,0.5,6.561016803630082e-06,0.002975765112718897,0.960252583026886,1.4084788446666607e-08,1000,10.078890800476074
46,0.0,0.029709829185009085,0.021523708517042058,0.9602524042129517,5.0050694255787676e-08,1000,4.418784856796265
47,1.0,5.882994977834954e-06,0.0017490469141819374,0.9739422798156738,1.2053272158141226e-08,1000,12.630359411239624
47,0.5,6.258107102752319e-06,0.0035317740028827566,0.9739424586296082,1.0810324191368181e-08,1000,10.909829139709473
47,0.0,0.27329112378974685,0.02892810749245262,0.9739425182342529,4.9596472706525674e-08,1000,6.008482933044434
48,1.0,5.7763881826655705e-06,0.00169077778891066,0.9075955152511597,2.3776969726441166e-08,1000,10.545135974884033
48,0.5,5.955338853169678e-06,0.0029458090010352727,0.9075955748558044,1.3134052068153323e-08,1000,14.783878564834595
48,0.0,1.5694539270825771,0.03732196719158552,0.9075954556465149,1.0501720026923067e-07,1000,4.8237550258636475
49,1.0,6.032355368779108e-06,0.001777628486378532,0.9189696311950684,9.625606978147516e-09,1000,10.005223989486694
49,0.5,6.179277686868545e-06,0.0036755451177764315,0.9189695119857788,1.4249481594674762e-08,1000,16.03113842010498
49,0.0,1.1056342868081934,0.033718246174412866,0.9336947202682495,6.386252948686888e-08,1000,4.508278846740723
50,1.0,5.649012745800874e-06,0.0016628855068686111,0.9263086915016174,1.0217381607446896e-08,1000,15.01228141784668
